,Symbol,instrument_token,date,open,high,low,close,volume
0,ABB,3329.0,2025-04-11 09:15:00,5149.5,5173.95,5075.0,5110.85,36836
1,ABB,3329.0,2025-04-11 09:45:00,5109.95,5117.95,5080.0,5091.05,24928
2,ABB,3329.0,2025-04-11 10:15:00,5091.05,5096.55,5052.05,5067.35,36932
3,ABB,3329.0,2025-04-11 10:45:00,5067.35,5101.55,5060.0,5099.95,20636
4,ABB,3329.0,2025-04-11 11:15:00,5099.95,5116.8,5096.1,5110.55,19779
5,ABB,3329.0,2025-04-11 11:45:00,5110.55,5120.6,5106.0,5120.0,17000
6,ABB,3329.0,2025-04-11 12:15:00,5120.0,5132.35,5118.2,5128.2,24096
7,ABB,3329.0,2025-04-11 12:45:00,5129.6,5134.6,5120.3,5128.7,23307
8,ABB,3329.0,2025-04-11 13:15:00,5126.65,5130.0,5114.1,5122.9,33528
9,ABB,3329.0,2025-04-11 13:45:00,5122.05,5126.55,5114.5,5120.6,64858
10,ABB,3329.0,2025-04-11 14:15:00,5120.6,5144.95,5115.15,5143.95,20992
11,ABB,3329.0,2025-04-11 14:45:00,5143.95,5154.3,5140.1,5150.05,65597
12,ABB,3329.0,2025-04-11 15:15:00,5150.05,5150.05,5123.6,5125.15,26431
13,ABB,3329.0,2025-04-15 09:15:00,5220.0,5245.0,5158.5,5232.5,65438
14,ABB,3329.0,2025-04-15 09:45:00,5232.5,5272.0,5229.0,5246.0,36936
15,ABB,3329.0,2025-04-15 10:15:00,5246.0,5288.5,5246.0,5278.5,23632
16,ABB,3329.0,2025-04-15 10:45:00,5278.5,5286.5,5268.5,5270.0,15864
17,ABB,3329.0,2025-04-15 11:15:00,5270.0,5274.0,5250.0,5253.0,12594
18,ABB,3329.0,2025-04-15 11:45:00,5253.0,5255.5,5234.0,5253.5,20171
19,ABB,3329.0,2025-04-15 12:15:00,5253.5,5262.5,5250.0,5256.5,7007
20,ABB,3329.0,2025-04-15 12:45:00,5257.0,5259.5,5213.5,5213.5,19533
21,ABB,3329.0,2025-04-15 13:15:00,5214.0,5224.5,5205.5,5224.0,21028
22,ABB,3329.0,2025-04-15 13:45:00,5225.0,5238.0,5220.0,5233.5,19615
23,ABB,3329.0,2025-04-15 14:15:00,5233.5,5239.5,5222.5,5226.0,16529
24,ABB,3329.0,2025-04-15 14:45:00,5226.0,5251.0,5225.0,5244.0,32546
25,ABB,3329.0,2025-04-15 15:15:00,5244.5,5255.0,5240.0,5240.0,42069
26,ABB,3329.0,2025-04-16 09:15:00,5280.0,5349.0,5252.5,5343.5,54881
27,ABB,3329.0,2025-04-16 09:45:00,5343.5,5443.5,5343.5,5443.5,158018
28,ABB,3329.0,2025-04-16 10:15:00,5444.0,5457.5,5415.0,5435.5,76878
29,ABB,3329.0,2025-04-16 10:45:00,5435.5,5445.0,5386.0,5438.0,87926
30,ABB,3329.0,2025-04-16 11:15:00,5438.0,5450.0,5420.0,5436.0,28620
31,ABB,3329.0,2025-04-16 11:45:00,5436.0,5441.5,5370.5,5372.0,30651
32,ABB,3329.0,2025-04-16 12:15:00,5373.0,5399.5,5364.0,5382.0,21110
33,ABB,3329.0,2025-04-16 12:45:00,5382.0,5382.5,5370.5,5382.0,13970
34,ABB,3329.0,2025-04-16 13:15:00,5380.5,5386.0,5354.5,5369.5,25051
35,ABB,3329.0,2025-04-16 13:45:00,5369.5,5394.5,5361.5,5382.0,15038
36,ABB,3329.0,2025-04-16 14:15:00,5382.0,5382.0,5362.0,5374.0,11249
37,ABB,3329.0,2025-04-16 14:45:00,5374.0,5387.5,5370.0,5377.0,21059
38,ABB,3329.0,2025-04-16 15:15:00,5377.0,5385.0,5370.5,5376.0,20970
39,ABB,3329.0,2025-04-17 09:15:00,5422.5,5422.5,5331.0,5340.0,82170
40,ABB,3329.0,2025-04-17 09:45:00,5340.0,5347.0,5294.5,5301.5,33853
41,ABB,3329.0,2025-04-17 10:15:00,5303.0,5599.0,5298.5,5577.0,250436
42,ABB,3329.0,2025-04-17 10:45:00,5582.0,5632.0,5530.0,5616.5,204829
43,ABB,3329.0,2025-04-17 11:15:00,5616.5,5617.5,5570.0,5575.0,89411
44,ABB,3329.0,2025-04-17 11:45:00,5575.5,5627.5,5540.0,5614.0,107997
45,ABB,3329.0,2025-04-17 12:15:00,5613.5,5645.0,5589.5,5604.5,114311
46,ABB,3329.0,2025-04-17 12:45:00,5605.5,5613.5,5596.5,5610.0,35451
47,ABB,3329.0,2025-04-17 13:15:00,5610.0,5617.0,5570.0,5595.0,46348
48,ABB,3329.0,2025-04-17 13:45:00,5595.0,5611.0,5581.0,5581.0,33688
49,ABB,3329.0,2025-04-17 14:15:00,5585.0,5589.0,5572.5,5588.0,28899
50,ABB,3329.0,2025-04-17 14:45:00,5588.0,5594.0,5573.0,5577.0,63284
51,ABB,3329.0,2025-04-17 15:15:00,5575.0,5577.0,5553.5,5565.0,50577
52,ABB,3329.0,2025-04-21 09:15:00,5678.5,5699.0,5519.0,5624.5,220532
53,ABB,3329.0,2025-04-21 09:45:00,5624.5,5669.0,5621.0,5648.5,71949
54,ABB,3329.0,2025-04-21 10:15:00,5648.5,5664.0,5622.0,5630.0,44011
55,ABB,3329.0,2025-04-21 10:45:00,5629.0,5664.5,5628.0,5664.0,37941
56,ABB,3329.0,2025-04-21 11:15:00,5665.0,5676.0,5653.5,5660.0,31556
57,ABB,3329.0,2025-04-21 11:45:00,5658.5,5670.5,5635.5,5669.0,35166
58,ABB,3329.0,2025-04-21 12:15:00,5668.5,5688.5,5650.0,5671.0,42149
59,ABB,3329.0,2025-04-21 12:45:00,5671.0,5673.5,5635.5,5638.0,27302
60,ABB,3329.0,2025-04-21 13:15:00,5638.0,5643.5,5600.5,5618.0,34907
61,ABB,3329.0,2025-04-21 13:45:00,5618.0,5635.0,5612.5,5626.0,20621
62,ABB,3329.0,2025-04-21 14:15:00,5623.0,5636.0,5606.5,5634.0,38791
63,ABB,3329.0,2025-04-21 14:45:00,5634.0,5652.0,5626.0,5632.0,47780
64,ABB,3329.0,2025-04-21 15:15:00,5631.0,5637.5,5608.0,5618.0,28910
65,ABB,3329.0,2025-04-22 09:15:00,5649.0,5682.5,5591.5,5643.5,88733
66,ABB,3329.0,2025-04-22 09:45:00,5643.5,5655.0,5608.5,5642.5,19867
67,ABB,3329.0,2025-04-22 10:15:00,5643.5,5645.0,5609.5,5640.5,17449
68,ABB,3329.0,2025-04-22 10:45:00,5640.5,5652.0,5636.5,5647.0,13280
69,ABB,3329.0,2025-04-22 11:15:00,5647.0,5648.5,5608.5,5634.5,21917
70,ABB,3329.0,2025-04-22 11:45:00,5634.5,5674.5,5634.0,5660.5,21460
71,ABB,3329.0,2025-04-22 12:15:00,5660.5,5669.0,5652.5,5657.0,12895
72,ABB,3329.0,2025-04-22 12:45:00,5657.0,5660.0,5641.0,5658.0,11845
73,ABB,3329.0,2025-04-22 13:15:00,5658.0,5689.0,5652.5,5677.5,25695
74,ABB,3329.0,2025-04-22 13:45:00,5679.0,5683.0,5670.0,5679.0,5344
75,ABB,3329.0,2025-04-22 14:15:00,5679.5,5704.0,5675.0,5688.0,22826
76,ABB,3329.0,2025-04-22 14:45:00,5685.0,5695.0,5664.5,5677.5,37007
77,ABB,3329.0,2025-04-22 15:15:00,5676.5,5690.5,5671.5,5678.0,25831
78,ABB,3329.0,2025-04-23 09:15:00,5715.0,5792.0,5710.5,5784.0,86352
79,ABB,3329.0,2025-04-23 09:45:00,5784.0,5788.5,5640.0,5641.5,63032
80,ABB,3329.0,2025-04-23 10:15:00,5640.5,5663.5,5620.0,5624.5,32248
81,ABB,3329.0,2025-04-23 10:45:00,5625.0,5650.0,5609.0,5644.0,18976
82,ABB,3329.0,2025-04-23 11:15:00,5645.0,5668.5,5643.5,5667.5,15977
83,ABB,3329.0,2025-04-23 11:45:00,5669.0,5679.0,5656.5,5675.0,17609
84,ABB,3329.0,2025-04-23 12:15:00,5675.0,5688.0,5668.5,5680.0,13290
85,ABB,3329.0,2025-04-23 12:45:00,5680.0,5705.0,5675.5,5700.0,19337
86,ABB,3329.0,2025-04-23 13:15:00,5700.0,5711.0,5690.5,5705.0,18566
87,ABB,3329.0,2025-04-23 13:45:00,5707.0,5720.0,5681.5,5704.5,21583
88,ABB,3329.0,2025-04-23 14:15:00,5703.0,5710.0,5692.0,5704.0,17974
89,ABB,3329.0,2025-04-23 14:45:00,5704.0,5720.0,5696.0,5715.0,26399
90,ABB,3329.0,2025-04-23 15:15:00,5715.0,5717.0,5700.0,5717.0,22937
91,ABB,3329.0,2025-04-24 09:15:00,5720.0,5733.0,5645.0,5649.5,54039
92,ABB,3329.0,2025-04-24 09:45:00,5651.5,5682.5,5621.5,5682.5,28469
93,ABB,3329.0,2025-04-24 10:15:00,5682.5,5698.0,5677.5,5693.0,22442
94,ABB,3329.0,2025-04-24 10:45:00,5695.0,5715.0,5674.0,5677.0,17684
95,ABB,3329.0,2025-04-24 11:15:00,5677.0,5706.5,5675.5,5699.5,24157
96,ABB,3329.0,2025-04-24 11:45:00,5699.5,5709.5,5685.0,5704.5,36998
97,ABB,3329.0,2025-04-24 12:15:00,5705.0,5713.5,5697.0,5710.5,13711
98,ABB,3329.0,2025-04-24 12:45:00,5708.5,5712.5,5684.0,5701.0,36522
99,ABB,3329.0,2025-04-24 13:15:00,5704.0,5708.5,5682.5,5682.5,31118
100,ABB,3329.0,2025-04-24 13:45:00,5682.5,5699.5,5680.5,5688.0,25429
